FECHA ,QUILLABAMBA
1/11/2016,11149
2/11/2016,6805
3/11/2016,12879
4/11/2016,12916
5/11/2016,8753
6/11/2016,7262
7/11/2016,12165
8/11/2016,12569
9/11/2016,12207
10/11/2016,12247
11/11/2016,12179
12/11/2016,8169
13/11/2016,7120
14/11/2016,11931
15/11/2016,11160
16/11/2016,11982
17/11/2016,11851
18/11/2016,11794
19/11/2016,8266
20/11/2016,7019
21/11/2016,11059
22/11/2016,11589
23/11/2016,11673
24/11/2016,11268
25/11/2016,11491
26/11/2016,7433
27/11/2016,5803
28/11/2016,11477
29/11/2016,11330
30/11/2016,11430
1/12/2016,11370
2/12/2016,11404
3/12/2016,8004
4/12/2016,6574
5/12/2016,10944
6/12/2016,11116
7/12/2016,11211
8/12/2016,10881
9/12/2016,11489
10/12/2016,8981
11/12/2016,7238
12/12/2016,11116
13/12/2016,10846
14/12/2016,10755
15/12/2016,11205
16/12/2016,11300
17/12/2016,8034
18/12/2016,8016
19/12/2016,10442
20/12/2016,10287
21/12/2016,10481
22/12/2016,10593
23/12/2016,10538
24/12/2016,7200
25/12/2016,7733
26/12/2016,6680
27/12/2016,9175
28/12/2016,9090
29/12/2016,9160
30/12/2016,9125
31/12/2016,5096
1/1/2017,6756
2/1/2017,7357
3/1/2017,9149
4/1/2017,8999
5/1/2017,9523
6/1/2017,9504
7/1/2017,5709
8/1/2017,5734
9/1/2017,9021
10/1/2017,9716
11/1/2017,9340
12/1/2017,9647
13/1/2017,10018
14/1/2017,7024
15/1/2017,6579
16/1/2017,10112
17/1/2017,10295
18/1/2017,10189
19/1/2017,10129
20/1/2017,10541
21/1/2017,7077
22/1/2017,7199
23/1/2017,5857
24/1/2017,9061
25/1/2017,10072
26/1/2017,10689
27/1/2017,11213
28/1/2017,8212
29/1/2017,8065
30/1/2017,11007
31/1/2017,10931
1/2/2017,10775
2/2/2017,10850
3/2/2017,11801
4/2/2017,8120
5/2/2017,7003
6/2/2017,11251
7/2/2017,11380
8/2/2017,11372
9/2/2017,11504
10/2/2017,12364
11/2/2017,7933
12/2/2017,6879
13/2/2017,11850
14/2/2017,11838
15/2/2017,12067
16/2/2017,11710
17/2/2017,12231
18/2/2017,8174
19/2/2017,6417
20/2/2017,11840
21/2/2017,10616
22/2/2017,12311
23/2/2017,11668
24/2/2017,10921
25/2/2017,7232
26/2/2017,4752
27/2/2017,4530
28/2/2017,5310
1/3/2017,11801
2/3/2017,11771
3/3/2017,12282
4/3/2017,7886
5/3/2017,6022
6/3/2017,11577
7/3/2017,11361
8/3/2017,11277
9/3/2017,11789
10/3/2017,11906
11/3/2017,7601
12/3/2017,6559
13/3/2017,11552
14/3/2017,11437
15/3/2017,11885
16/3/2017,12203
17/3/2017,12161
18/3/2017,8516
19/3/2017,6720
20/3/2017,11832
21/3/2017,11917
22/3/2017,12117
23/3/2017,11484
24/3/2017,11300
25/3/2017,7863
26/3/2017,5957
27/3/2017,11397
28/3/2017,11371
29/3/2017,11184
30/3/2017,11740
31/3/2017,11644
1/4/2017,6884
2/4/2017,5491
3/4/2017,12124
4/4/2017,11862
5/4/2017,11139
6/4/2017,11975
7/4/2017,12002
8/4/2017,7293
9/4/2017,5869
10/4/2017,11511
11/4/2017,11564
12/4/2017,11335
13/4/2017,10550
14/4/2017,7413
15/4/2017,7371
16/4/2017,6542
17/4/2017,11437
18/4/2017,11206
19/4/2017,11446
20/4/2017,11668
21/4/2017,11871
22/4/2017,7771
23/4/2017,6283
24/4/2017,11525
25/4/2017,11264
26/4/2017,11663
27/4/2017,11542
28/4/2017,11459
29/4/2017,6660
30/4/2017,6697
1/5/2017,6108
2/5/2017,11542
3/5/2017,11690
4/5/2017,11564
5/5/2017,11610
6/5/2017,7406
7/5/2017,6085
8/5/2017,11670
9/5/2017,11594
10/5/2017,11259
11/5/2017,11186
12/5/2017,11820
13/5/2017,8175
14/5/2017,6398
15/5/2017,11148
16/5/2017,11147
17/5/2017,13884
18/5/2017,12395
19/5/2017,11560
20/5/2017,8855
21/5/2017,7308
22/5/2017,10932
23/5/2017,11106
24/5/2017,10822
25/5/2017,11021
26/5/2017,10934
27/5/2017,7488
28/5/2017,5886
29/5/2017,11359
30/5/2017,11162
31/5/2017,11557
1/6/2017,10909
2/6/2017,11493
3/6/2017,7555
4/6/2017,6009
5/6/2017,10853
6/6/2017,10610
7/6/2017,11193
8/6/2017,11335
9/6/2017,10942
10/6/2017,5350
11/6/2017,5913
12/6/2017,10628
13/6/2017,10707
14/6/2017,11572
15/6/2017,6435
16/6/2017,11415
17/6/2017,7349
18/6/2017,6016
19/6/2017,11129
20/6/2017,11314
21/6/2017,6202
22/6/2017,11193
23/6/2017,11301
24/6/2017,7081
25/6/2017,5989
26/6/2017,10734
27/6/2017,10785
28/6/2017,10629
29/6/2017,11106
30/6/2017,11029
1/7/2017,7490
2/7/2017,5548
3/7/2017,10076
4/7/2017,10143
5/7/2017,10073
6/7/2017,9476
